,Summer Anthem,Artist,Song URI,Date,Danceability,Energy,Acousticness,Valence,Tempo,Instrumentalness
1515,Days Go By, Dirty Vegas,spotify:track:2RLpFEf6d0708O7Bqhjyxg,2002,0.786,0.853,0.0499,0.309,126.99,0.0872
1516,halfcrazy, Musiq,spotify:track:3oXNIpoUMdk8qGkwCeXqGv,2002,0.488,0.779,0.428,0.499,67.884,0
1517,Rainy Dayz, Mary J. Blige Featuring Ja Rule,N/A,2002,N/A,N/A,N/A,N/A,N/A,N/A
1518,Still Fly, Big Tymers,spotify:track:563vSy3HB5NHxel1VGQCW6,2002,0.674,0.61,0.0349,0.548,177.943,1.12e-05
1519,Wasting My Time, Default,spotify:track:5dpAN1mjFPL38kh9kWsCiw,2002,0.449,0.776,0.00171,0.198,148.11,0
1520,Down A** Chick," Ja Rule Featuring Charli ""Chuck"" Baltimore",N/A,2002,N/A,N/A,N/A,N/A,N/A,N/A
1521,Soak Up The Sun, Sheryl Crow,spotify:track:215JYyyUnrJ98NK3KEwu6d,2002,0.715,0.75,0.0418,0.71,119.992,0
1522,Dont Let Me Get Me, P!nk,spotify:track:2ZQ4Q9xL7W8FEgO1d4o7YH,2002,0.544,0.849,0.00264,0.589,98.376,0
1523,Full Moon, Brandy,spotify:track:0pLmfgIANOX9FB9uZDU43x,2002,0.692,0.656,0.358,0.629,105.994,0.0029
1524,More Than A Woman, Aaliyah,spotify:track:7shelnJfOa5yGLzOpRRnKI,2002,0.417,0.704,0.0622,0.793,86.804,0
1525,Wherever You Will Go, The Calling,spotify:track:5QpaGzWp0hwB5faV8dkbAz,2002,0.558,0.719,0.0367,0.371,112.027,0
1526,Living And Living Well, George Strait,spotify:track:3YxKqZFpcxBPvpUssL8FS2,2002,0.612,0.678,0.418,0.564,120.932,0.0038
1527,I Need A Girl (Part Two)," P. Diddy & Ginuwine Featuring Loon, Mario Winans & Tammy Ruggeri",N/A,2002,N/A,N/A,N/A,N/A,N/A,N/A
1528,In The End, Linkin Park,spotify:track:60a0Rd6pjrkxjPbaKzXjfq,2002,0.542,0.853,0.0103,0.37,105.256,0
1529,Complicated, Avril Lavigne,spotify:track:5xEM5hIgJ1jjgcEBfpkt2F,2002,0.585,0.776,0.0572,0.427,77.987,7.74e-06
1530,Drive (For Daddy Gene), Alan Jackson,spotify:track:3xzoXqypESowMIDPX760Ds,2002,0.709,0.61,0.317,0.475,125.189,0
1531,How You Remind Me, Nickelback,spotify:track:0gmbgwZ8iqyMPmXefof8Yf,2002,0.446,0.764,0.00135,0.543,172.094,0
1532,Underneath Your Clothes, Shakira,spotify:track:15f8Cv8RXUlOOCIf2oaceN,2002,0.616,0.597,0.686,0.362,165.508,0
1533,Makin Good Love, Avant,spotify:track:6Q13UWFUuqXLXT7IUVkqM1,2002,0.793,0.647,0.239,0.718,142.268,0
1534,Aint It Funny, Jennifer Lopez Featuring Ja Rule,spotify:track:3B3nsrgVpBiidfl7wvTEWD,2002,0.775,0.741,0.379,0.792,89.398,0
1535,Pass The Courvoisier Part II, Busta Rhymes Featuring P. Diddy & Pharrell,N/A,2002,N/A,N/A,N/A,N/A,N/A,N/A
1536,Gots Ta Be, B2K,spotify:track:63MKNIWCCxtqnehwFhmYqp,2002,0.832,0.454,0.0402,0.69,131.784,0.000497
1537,Im Gonna Miss Her (The Fishin Song), Brad Paisley,spotify:track:3aC3C8kWu8dJUTr54zsBkq,2002,0.369,0.484,0.075,0.208,98.001,0.12
1538,Call Me, Tweet,spotify:track:2aBEchhqPDgnvjPhCgzHSx,2002,0.552,0.706,0.484,0.721,167.468,6.49e-05
1539,I Dont Have To Be Me (til Monday), Steve Azar,spotify:track:5v1bA7NmQcQHvH9IDkeeF4,2002,0.497,0.717,0.201,0.771,168.999,0
1540,Dont Say Goodbye, Paulina Rubio,spotify:track:1yTLDUvJW37nMNucGZfBoA,2002,0.656,0.855,0.00607,0.671,119.881,7.61e-06
1541,Anything, Jaheim Featuring Next,spotify:track:3E0DKctNQx4DU9QJ3xoXdU,2002,0.698,0.374,0.0301,0.602,107.957,0.0337
1542,Girlfriend, 'N Sync Featuring Nelly,spotify:track:5hOnaYMOnXvZWmOdnLMXHD,2002,0.679,0.45,0.185,0.74,93.644,0.0938
1543,I Should Be Sleeping, Emerson Drive,spotify:track:28CnmZkM5CFp0ObTRQJeCw,2002,0.496,0.895,0.205,0.654,164.363,0
1544,Not A Day Goes By, Lonestar,spotify:track:5hPZdsAI8Jo0mhq5J829Tb,2002,0.53,0.305,0.492,0.221,127.318,0
1545,No Such Thing, John Mayer,spotify:track:6Vecwo7AHst9V2CE3kmwr0,2002,0.668,0.739,0.0383,0.571,131.918,0
1546,Escape, Enrique Iglesias,spotify:track:24Gxm7Eh7tO83E26LG0CsY,2002,0.567,0.65,0.135,0.154,76.036,1.94e-05
1547,Here Is Gone, Goo Goo Dolls,spotify:track:7p1PhtGLjq0ISncRXBHqXY,2002,0.351,0.74,0.000502,0.218,102.124,0.00144
1548,Someone To Love You, Ruff Endz,spotify:track:1TYEfvGTYpdimygplYu0Hk,2002,0.637,0.686,0.044,0.405,77.933,0
1549,Walking Away, Craig David,spotify:track:3R7fjB38qajI6JR69y5k4e,2002,0.596,0.686,0.196,0.815,172.835,0
1550,Heaven, DJ Sammy & Yanou Featuring Do,N/A,2002,N/A,N/A,N/A,N/A,N/A,N/A
1551,The One, Gary Allan,spotify:track:3bshjjlr63HkgFFxdA8mvg,2002,0.592,0.594,0.565,0.68,136.104,0.00361
1552,By The Way, Red Hot Chili Peppers,spotify:track:3ZOEytgrvLwQaqXreDs2Jx,2002,0.618,0.938,0.0179,0.875,91.455,0
1553,The Good Stuff, Kenny Chesney,spotify:track:1EKiQ1InQXuodp4M1idrng,2002,0.586,0.675,0.26,0.473,143.921,0
1554,My List, Toby Keith,spotify:track:3vzmDjQ7E6gzAVg4ecp6XU,2002,0.618,0.722,0.352,0.382,87.062,0
1555,Too Bad, Nickelback,spotify:track:2cCWbBmadLbKvr9xddC79R,2002,0.598,0.808,0.00304,0.288,128.025,0
1556,Nothin, N.O.R.E.,spotify:track:5ZKVNTG7yu7gbX4vryqS2X,2002,0.781,0.869,0.377,0.702,97.025,1.2e-06
1557,Just A Friend 2002, Mario,spotify:track:2cxbxpHrND6i4uvUGVvC9J,2002,0.538,0.677,0.00541,0.913,132.346,0
1558,My Heart Is Lost To You, Brooks & Dunn,spotify:track:2YWVrRgUlnOGW2MKEU4PLv,2002,0.524,0.849,0.188,0.453,125.864,0
1559,You Know That I Love You, Donell Jones,spotify:track:5QiTs0egWAq0k2O8HWKoEP,2002,0.767,0.494,0.136,0.801,96.003,0.000277
1560,One Last Breath, Creed,spotify:track:42T2QQv3xgBlpQxaSP7lnK,2002,0.388,0.689,0.00809,0.212,126.362,0.000946
1561,Why Dont We Fall In Love, Amerie,spotify:track:4bnjq8zqtCnxTGxll5ezOO,2002,0.551,0.773,0.0673,0.649,90.003,3.39e-05
1562,"Courtesy Of The Red, White And Blue (The Angry American)", Toby Keith,spotify:track:0M7mWKqwTIaVjYyxfZmtTa,2002,0.414,0.679,0.503,0.354,111.937,4.99e-06
1563,When You Lie Next To Me, Kellie Coffey,spotify:track:6EwbFB8T0uIaaRCNwAIrnS,2002,0.312,0.404,0.184,0.115,138.425,0
1564,A New Day Has Come, Celine Dion,spotify:track:3qjXFLKMp4zfMmugEGPaBx,2002,0.691,0.64,0.0247,0.452,101.991,5.24e-06
1565,Drift & Die, Puddle Of Mudd,spotify:track:6lNOwCkVMyl0VWTJOScNDx,2002,0.424,0.853,0.00888,0.354,96.034,0
1566,Long Time Gone, Dixie Chicks,spotify:track:7xhhDOQa7X36TmU45uoVi6,2002,0.547,0.669,0.142,0.809,169.788,3.01e-06
1567,What If Shes An Angel, Tommy Shane Steiner,spotify:track:4avs56frsTcnjwy2KlCQ5D,2002,0.535,0.528,0.308,0.41,146.169,1.11e-06
1568,Saturday (Oooh! Ooooh!), Ludacris Featuring Sleepy Brown,N/A,2002,N/A,N/A,N/A,N/A,N/A,N/A
1569,I Dont Want You To Go, Carolyn Dawn Johnson,spotify:track:5nm8hcsVzkpybnK75h7FDY,2002,0.458,0.795,0.0464,0.512,168.316,0.000212
1570,Say I Yi Yi, Ying Yang Twins,spotify:track:46XvcuEZFFInDilbYUNHBn,2002,0.782,0.627,0.00233,0.485,94.967,1.27e-05
1571,I Miss My Friend, Darryl Worley,spotify:track:0qnoS5hMZMphvKWi0D2LQh,2002,0.56,0.468,0.161,0.43,140.058,3.73e-05
1572,Where Are You Going, Dave Matthews Band,spotify:track:5EjZXJ4nVpw7uI6eso1SFS,2002,0.444,0.583,0.5,0.258,97.492,0.15
1573,Down 4 U," Irv Gotti Presents The Inc. Featuring Ja Rule, Ashanti, Charli Baltimore & Vita",N/A,2002,N/A,N/A,N/A,N/A,N/A,N/A
1574,"My Neck, My Back", Khia Featuring DSD,N/A,2002,N/A,N/A,N/A,N/A,N/A,N/A
1575,Grindin, Clipse,spotify:track:3XrvEifl0hIzgBGUa5jBLS,2002,0.592,0.77,0.122,0.361,191.692,1.22e-06
1576,Happy, Ashanti,spotify:track:6CbcdeTQKj0qTaZTt0xkdk,2002,0.717,0.508,0.263,0.681,89.473,3.76e-06
1577,Here To Stay, Korn,spotify:track:5NHTtXGCdO7ul16xr0q93w,2002,0.564,0.947,7.81e-06,0.351,100.002,0.828
1578,One Mic, Nas,spotify:track:6MMuI4k4Vs5ghtDH5i2hBg,2002,0.783,0.608,0.0574,0.429,91.672,0
1579,Move B***h, Ludacris Featuring Mystikal & Infamous 2.0,N/A,2002,N/A,N/A,N/A,N/A,N/A,N/A
1580,For You, Staind,spotify:track:464HG7mt7NNKtKY0Hco8Y8,2002,0.318,0.958,0.0603,0.3,163.089,4.68e-06
1581,Thats When I Love You, Phil Vassar,spotify:track:1lhPhB8fdto7hvqCWljRm1,2002,0.552,0.831,0.236,0.604,111.061,0
1582,What If A Woman, Joe,spotify:track:6B38ul2FMi2Vho0siZ6DjB,2002,0.645,0.582,0.0453,0.359,140.028,1.56e-05
1583,Young, Kenny Chesney,spotify:track:6vikZR6OvVmDSSgfiQVQgm,2002,0.673,0.818,0.0249,0.638,125.753,0
1584,Wish I Didnt Miss You, Angie Stone,spotify:track:3tZm76otWH20xzJC7icHCk,2002,0.855,0.74,0.385,0.834,123.872,0.000967
1585,Awnaw, Nappy Roots,spotify:track:37RC87Ce8jeeKmnpYNExhP,2002,0.721,0.678,0.00521,0.712,160.023,0
1586,Feels Good (Dont Worry Bout A Thing), Naughty By Nature Featuring 3LW,spotify:track:64cLBRrPxdJrbGPpTcQpNL,2002,0.895,0.494,0.0651,0.803,95.01,0
1587,Toxicity, System Of A Down,spotify:track:2DlHlPMa4M17kufBvI2lEN,2002,0.419,0.934,0.000278,0.286,127.288,0.0015
1588,Quitame Ese Hombre, Pilar Montenegro,spotify:track:51nRQic7PFMD4NsdRj6soX,2002,0.683,0.657,0.224,0.963,155.988,0
1589,The Impossible, Joe Nichols,spotify:track:0RXY2Ha3UT5V3XkeEjY8Fh,2002,0.613,0.59,0.367,0.192,78.013,2.2e-06
1590,If I Could Go!, Angie Martinez Featuring Lil' Mo & Sacario,N/A,2002,N/A,N/A,N/A,N/A,N/A,N/A
1591,Oops (Oh My), Tweet,spotify:track:5Y0E3dOeynKuLDAXu0t0Bg,2002,0.66,0.536,0.233,0.775,159.963,0.00669
1592,Guess Whos Back, Scarface Featuring Jay-Z & Beanie Sigel,N/A,2002,N/A,N/A,N/A,N/A,N/A,N/A
1593,Give It To Her, Tanto Metro & Devonte,spotify:track:1JopC4d5uwa7zU98fi4oaT,2002,0.76,0.612,0.0116,0.675,95.018,0
1594,"I Breathe In, I Breathe Out", Chris Cagle,spotify:track:3r513lY50AOJBqaG4nP2LT,2002,0.316,0.514,0.178,0.242,185.882,0
1595,Roc The Mic, Beanie Sigel & Freeway,spotify:track:147AMxzdK5I1iwiaXEvypO,2002,0.848,0.724,0.0505,0.942,96.917,0.000494
1596,Gimme The Light, Sean Paul,spotify:track:3SCVtAJq8li6HlKfM4M08u,2002,0.778,0.761,0.141,0.923,107.288,4.61e-05
1597,For All Time, Soluna,spotify:track:74FoFQHkUuGyjbmyLJ35fz,2002,0.303,0.854,0.503,0.249,93.256,0
1598,Day + Night, Isyss Featuring Jadakiss,N/A,2002,N/A,N/A,N/A,N/A,N/A,N/A
1599,Crawling In The Dark, Hoobastank,spotify:track:1eK4KsyjAzr2xJ86Tj5SWa,2002,0.592,0.932,0.000295,0.698,93.675,7.59e-05
1600,Lady Marmalade," Christina Aguilera, Lil' Kim, Mya & P!nk",spotify:track:5xL8ktVmTcBzr4XigMHklD,2001,0.841,0.487,0.000597,0.665,110.595,0.879
1601,Hanging By A Moment, Lifehouse,spotify:track:0wqOReZDnrefefEsrIGeR4,2001,0.531,0.855,0.000983,0.424,124.578,0
1602,Ride Wit Me, Nelly Featuring City Spud,spotify:track:40emMiuHFhj8amLAWapAAA,2001,0.761,0.565,0.0136,0.715,101.863,0.0256
1603,My Baby, Lil' Romeo,spotify:track:0s9A4pUBLw68E76vY8LU9K,2001,0.82,0.76,0.0481,0.585,97.422,0
1604,Drops Of Jupiter (Tell Me), Train,spotify:track:0k4DhjX89dOfcJ7pgRoxoy,2001,0.369,0.549,0.356,0.267,78.509,0
1605,Fiesta, R. Kelly Featuring Jay-Z,N/A,2001,N/A,N/A,N/A,N/A,N/A,N/A
1606,Follow Me, Uncle Kracker,spotify:track:4KoecuyOpZaNFZ0UqVsllc,2001,0.817,0.585,0.439,0.916,105.014,0
1607,Peaches & Cream, 112,spotify:track:2SLZ2rX5773RS16mcqBxG7,2001,0.677,0.52,0.00277,0.768,203.862,0
1608,Get Ur Freak On," Missy ""Misdemeanor"" Elliott",spotify:track:6ak4LTFKVFLIpS3WpyDfhC,2001,0.63,0.635,0.013,0.452,177.872,0.544
1609,All For You, Janet,spotify:track:0UdqZQEbRWTkNXlh5kl2L8,2001,0.752,0.925,0.0178,0.692,113.528,0.125
1610,There Youll Be, Faith Hill,spotify:track:1s2khOWzC99udpUaPICLJI,2001,0.325,0.532,0.496,0.162,129.021,0
1611,Let Me Blow Ya Mind, Eve Featuring Gwen Stefani,spotify:track:5ncKa5K5qxoRDIn5p7Qqmm,2001,0.713,0.257,0.0113,0.91,179.997,0.448
1612,Superwoman Pt. II, Lil' Mo Featuring Fabolous,N/A,2001,N/A,N/A,N/A,N/A,N/A,N/A
1613,Drive, Incubus,spotify:track:7nnWIPM5hwE3DaUBkvOIpy,2001,0.645,0.792,0.0562,0.666,90.565,0.0121
1614,Thank You, Dido,spotify:track:751gBcu62kORDelX7FV0mM,2001,0.722,0.595,0.284,0.738,79.98,0.000538
1615,What Would You Do?, City High,spotify:track:1tJkic0TURTCXw3rBhYgWu,2001,0.732,0.793,0.278,0.821,95.918,0
1616,Im Like A Bird, Nelly Furtado,spotify:track:2tP7ZekzXfduShx8C6cbll,2001,0.616,0.633,0.147,0.58,89.644,1.48e-06
1617,Irresistible, Jessica Simpson,spotify:track:2TVSa07y6g3HRn4oLWv57M,2001,0.659,0.966,0.0279,0.687,93.008,8.25e-05
1618,Pop, 'N Sync,spotify:track:0Jc8qF1mUPo1A96HE9QxZz,2001,0.706,0.861,0.0341,0.923,119.946,0
1619,Survivor, Destiny's Child,spotify:track:2Mpj1Ul5OFPyyP4wB62Rvi,2001,0.514,0.911,0.0559,0.619,161.109,0
1620,Bootylicious, Destiny's Child,spotify:track:41nT1Sp6ChR65FbsdLlFHW,2001,0.84,0.835,0.00281,0.637,103.376,1.11e-06
1621,Its Been Awhile, Staind,spotify:track:25CMmGsl22APKhfuj4Tp7j,2001,0.509,0.774,0.00189,0.0824,116.529,0.000549
1622,Music, Erick Sermon Featuring Marvin Gaye,N/A,2001,N/A,N/A,N/A,N/A,N/A,N/A
1623,Im Already There, Lonestar,spotify:track:34Vn9nKfztyLco9lJazy4j,2001,0.377,0.395,0.61,0.221,133.296,0
1624,Aint Nothing Bout You, Brooks & Dunn,spotify:track:6CkydK3NOAMScIhViRzXoB,2001,0.326,0.887,0.144,0.706,202.354,1.35e-06
1625,Grown Men Dont Cry, Tim McGraw,spotify:track:4RtDZMumlKxsN7IL3AJPUx,2001,0.657,0.513,0.199,0.56,101.815,0
1626,Stutter, Joe Featuring Mystikal,N/A,2001,N/A,N/A,N/A,N/A,N/A,N/A
1627,More Than That, Backstreet Boys,spotify:track:4XRUKxDIn28c7uHEzbGFgj,2001,0.58,0.729,0.0102,0.483,80.061,0
1628,All Or Nothing, O-Town,spotify:track:0WdaRmHBMhUoLPqHLdb9yg,2001,0.641,0.453,0.262,0.216,126.872,0
1629,U Remind Me, Usher,spotify:track:2QsZVnbWVSjKMXK6K3uRBL,2001,0.657,0.629,0.194,0.726,93.985,0
1630,Play, Jennifer Lopez,spotify:track:7fFCnttacpotkyhTOxKv14,2001,0.775,0.729,0.0303,0.895,104.719,0.00247
1631,Missing You, Case,spotify:track:74mLqaoGbdKYmgUxoVxD6S,2001,0.616,0.552,0.283,0.774,86.299,0
1632,I Hope You Dance, Lee Ann Womack,spotify:track:65B1tEOv5W294uCKbmEcFV,2001,0.416,0.446,0.0524,0.278,151.328,0
1633,When Its Over, Sugar Ray,spotify:track:3eWxADd1CLwJVhyPzrCpl8,2001,0.677,0.771,0.0465,0.936,99.91,0
1634,South Side, Moby Featuring Gwen Stefani,spotify:track:0KwXjf8EUmRA8csssSi9Dt,2001,0.665,0.666,9.72e-05,0.346,97.403,0.831
1635,Where The Party At, Jagged Edge With Nelly,spotify:track:2VbmTtZn6SdR33FGklXhVU,2001,0.808,0.593,0.0951,0.861,97.105,0
1636,Dont Happen Twice, Kenny Chesney,spotify:track:04ccQGJ1i8gL7JoeCPiJbv,2001,0.499,0.708,0.00626,0.617,158.785,1.15e-05
1637,Angel, Shaggy Featuring Rayvon,N/A,2001,N/A,N/A,N/A,N/A,N/A,N/A
1638,If Youre Gone, matchbox twenty,spotify:track:2f5N826udWfjT9iomeaBJt,2001,0.544,0.659,0.427,0.361,109.933,1.33e-06
1639,I Cry, Ja Rule Featuring Lil' Mo,N/A,2001,N/A,N/A,N/A,N/A,N/A,N/A
1640,Fill Me In, Craig David,spotify:track:0UzsDmdpw0Q14KU4hieQss,2001,0.683,0.748,0.373,0.828,132.486,0.00881
1641,Wait A Minute, Ray J Featuring Lil' Kim,N/A,2001,N/A,N/A,N/A,N/A,N/A,N/A
1642,Never Had A Dream Come True, S Club 7,spotify:track:1rzssdgfZiGs7VAMsYN9SF,2001,0.642,0.547,0.487,0.456,122.951,0
1643,Heard It All Before, Sunshine Anderson,spotify:track:0xikWgPgYN9BEes0ieZ8Co,2001,0.698,0.925,0.0611,0.676,96.953,0
1644,I Do!!, Toya,spotify:track:0NdEFLohwfZpyncrBCq1ZY,2001,0.781,0.583,0.0859,0.91,156.264,0.00216
1645,I Could Not Ask For More, Sara Evans,spotify:track:3TcoHf7nvC8RaDVdfIFjFR,2001,0.584,0.509,0.0234,0.387,138.022,0.00017
1646,Again, Lenny Kravitz,spotify:track:16gvJsVyauI16RqmOrwJJk,2001,0.554,0.82,0.0186,0.755,79.155,4.91e-05
1647,Put It On Me, Ja Rule Featuring Lil' Mo & Vita,N/A,2001,N/A,N/A,N/A,N/A,N/A,N/A
1648,She Couldnt Change Me, Montgomery Gentry,spotify:track:3zjLEJ6EPYJHZRtWGMhMSJ,2001,0.67,0.823,0.00436,0.787,117.44,0.000192
1649,Love, Musiq Soulchild,spotify:track:6uSa5iCMwPr10Ftpz8w09b,2001,0.463,0.395,0.369,0.351,98.656,0
1650,This Is Me, Dream,spotify:track:5LVTzrOs7Ban5EpU9XkGSW,2001,0.309,0.508,0.483,0.56,135.261,0.000287
1651,If You Can Do Anything Else, George Strait,N/A,2001,N/A,N/A,N/A,N/A,N/A,N/A
1652,Heres To The Night, Eve 6,spotify:track:4tgeQrPu5xkrnwErym2JsJ,2001,0.583,0.652,0.0405,0.352,97.469,0.000378
1653,"So Fresh, So Clean", OutKast,spotify:track:6glsMWIMIxQ4BedzLqGVi4,2001,0.725,0.64,0.0278,0.915,166.029,0
1654,Its A Great Day To Be Alive, Travis Tritt,spotify:track:3oW6SWwGqiZSPTiAp7ZQoH,2001,0.595,0.653,0.246,0.542,128.93,0
1655,When Somebody Loves You, Alan Jackson,spotify:track:4XVLJ62eA8szyqGS7vmVsB,2001,0.686,0.306,0.759,0.192,83.849,9.18e-05
1656,Two People Fell In Love, Brad Paisley,spotify:track:154grZhOoDf2FDTnS2BpK6,2001,0.6,0.44,0.332,0.381,80.334,0
1657,I Like Them Girls, Tyrese,spotify:track:3NJQ1KdbMLE1CEEVNjs9IO,2001,0.77,0.854,0.00503,0.807,90.006,9.31e-05
1658,Hit Em Up Style (Oops!), Blu Cantrell,spotify:track:4zYTZvtcww7OWKie7fxA9E,2001,0.7,0.774,0.2,0.652,90.0,0
1659,We Need A Resolution, Aaliyah Featuring Timbaland,N/A,2001,N/A,N/A,N/A,N/A,N/A,N/A
1660,The Space Between, Dave Matthews Band,spotify:track:65KzDXZm9aQt8sA1k0ZVG3,2001,0.406,0.73,0.0471,0.207,170.032,0
1661,When I Think About Angels, Jamie O'Neal,spotify:track:3ERS3R0knFUvG68792i1r1,2001,0.688,0.834,0.332,0.519,96.881,0
1662,I Wanna Be Bad, Willa Ford,spotify:track:6f67kjvFmXZTA47K8JNVBU,2001,0.647,0.818,0.234,0.816,180.019,1.89e-05
1663,"Baby, Come Over (This Is Our Night)", Samantha Mumba,spotify:track:45wCb9OuQVAQLXgsL6Wi7W,2001,0.769,0.432,0.116,0.748,94.949,3.25e-05
1664,Mad Season, matchbox twenty,spotify:track:2f5N826udWfjT9iomeaBJt,2001,0.544,0.659,0.427,0.361,109.933,1.33e-06
1665,Cant Believe, Faith Evans Featuring Carl Thomas,N/A,2001,N/A,N/A,N/A,N/A,N/A,N/A
1666,What It Feels Like For A Girl, Madonna,spotify:track:6rQcK4xOzePDdrTg7Yv6d6,2001,0.67,0.627,0.201,0.582,104.988,0.00161
1667,Until The End Of Time, 2Pac,spotify:track:5avQSAKB1dOEeIQBqV4jgW,2001,0.757,0.709,0.0288,0.38,97.023,0
1668,Flavor Of The Weak, American Hi-Fi,spotify:track:1UkMAtLU8NxsddE7j4zXGO,2001,0.389,0.959,0.000406,0.597,151.334,1.09e-05
1669,Im Just Talkin About Tonight, Toby Keith,spotify:track:6CBRI05fAHw76JqDk2IRkK,2001,0.674,0.863,0.279,0.821,123.872,0
1670,Right Where I Need To Be, Gary Allan,spotify:track:7fkGuyDiJoqHbMiPqjqNKx,2001,0.528,0.692,0.307,0.635,82.788,4.91e-05
1671,La Bomba, Azul Azul,spotify:track:0Tl84qfow6Dv0PM60zoBhb,2001,0.923,0.768,0.119,0.96,94.013,0
1672,Austin, Blake Shelton,spotify:track:2WQAknZHrJAEQOFXe0F44P,2001,0.605,0.609,0.188,0.275,119.914,0
1673,Where The Blacktop Ends, Keith Urban,spotify:track:7qLQR9T8vL638MbPYCDAFk,2001,0.496,0.94,0.289,0.95,158.967,0
1674,Take It To Da House, Trick Daddy Featuring The SNS Express,N/A,2001,N/A,N/A,N/A,N/A,N/A,N/A
1675,Someone To Call My Lover, Janet,spotify:track:3cNtjgYi1Z6zR35fOiNtuZ,2001,0.729,0.914,0.135,0.921,127.907,0.000672
1676,Downtime, Jo Dee Messina,spotify:track:4rENpAqjfXx7XBZV63hx0O,2001,0.496,0.862,0.0186,0.51,108.999,0.00351
1677,Maybe I Deserve, Tank,spotify:track:4vsrilwOdpMNfAxjyA4sQc,2001,0.738,0.378,0.202,0.427,93.985,0
1678,Loverboy, Mariah Carey Featuring Cameo,spotify:track:5fTFotLuBHdqoO4k8BnxET,2001,0.835,0.634,0.0825,0.676,102.992,0.000345
1679,Lets Get It," Three The... G. Dep, P. Diddy & Black Rob",N/A,2001,N/A,N/A,N/A,N/A,N/A,N/A
1680,Schism, Tool,spotify:track:1y5q1xlIKjtIMKnrI0NIOY,2001,0.573,0.651,0.000465,0.446,108.079,0.78
1681,If I Fall Youre Going Down With Me, Dixie Chicks,spotify:track:2MMZ1Llts0rTaU834P2Xct,2001,0.722,0.81,0.119,0.561,123.272,7.13e-06
1682,Oochie Wally, QB Finest Featuring Nas & Bravehearts,N/A,2001,N/A,N/A,N/A,N/A,N/A,N/A
1683,Playas Gon Play, 3LW,spotify:track:3OWsm3HE35S9x3fgY8tbgh,2001,0.656,0.724,0.00395,0.62,185.748,4.98e-05
1684,Shes All I Got, Jimmy Cozier,spotify:track:49XSbzWYyB20DTlBtQiZFw,2001,0.768,0.522,0.343,0.186,99.957,2.12e-06
1685,Angel, Lionel Richie,spotify:track:55oovDrYcI8EzQxg7mHVrD,2001,0.73,0.827,0.0168,0.648,128.001,0
1686,Lay Low," Snoop Dogg Featuring Master P, Nate Dogg, Butch Cassidy & Tha Eastsidaz",N/A,2001,N/A,N/A,N/A,N/A,N/A,N/A
1687,Look At Us, Sarina Paris,spotify:track:42MVI9N0ikM6m8QgrC1nUu,2001,0.818,0.83,0.191,0.769,132.979,0.00253
1688,What I Really Meant To Say, Cyndi Thomson,spotify:track:2YhdP9Wq1yH2pshQ6sWnHo,2001,0.503,0.671,0.093,0.381,140.115,3.37e-05
1689,My Way, Limp Bizkit,spotify:track:2gSVKxPDww9Eep5rdvtdem,2001,0.587,0.873,0.0188,0.591,97.068,0
1690,Video, India.Arie,spotify:track:4oiAlcisfimXQc1wyAtX9a,2001,0.652,0.621,0.104,0.661,169.983,5.3e-06
1691,Dream On, Depeche Mode,spotify:track:17ZX2lirfQGxbPLcn25sf7,2001,0.811,0.563,0.271,0.631,127.986,0.00158
1692,Get Over Yourself, Eden's Crush,spotify:track:5YAEEcU49qZX0e35j26sSh,2001,0.649,0.813,0.118,0.706,106.05,4.89e-06
1693,Yellow, Coldplay,spotify:track:3AJwUDP919kvQ9QcozQPxg,2001,0.429,0.661,0.00239,0.285,173.365,0.00013
1694,Mrs. Steven Rudy, Mark McGuinn,spotify:track:50JSuPksOs3K8IOL0Fqt5K,2001,0.65,0.883,0.0773,0.685,104.003,0
1695,There She Goes, Babyface,spotify:track:7dO7S7cAUqTUiVRqQ2v9zh,2001,0.789,0.654,0.035,0.83,104.993,1.65e-05
1696,Purple Hills, D12,spotify:track:3zUrHLn4Q2dSX2T9veMIIb,2001,0.773,0.672,0.018,0.678,125.192,0
1697,Fallin, Alicia Keys,spotify:track:0KQx6HOpJueiSkztcS0r7D,2001,0.653,0.609,0.263,0.482,95.982,0.00101
1698,Imitation Of Life, R.E.M.,spotify:track:32kmXl5F8I3XDVKNfwwM4J,2001,0.468,0.743,0.0156,0.478,124.196,1.09e-06
1699,Loaded, Ricky Martin,spotify:track:1uPrIHgYztXSkkcts9jet8,2001,0.63,0.95,0.000915,0.858,143.866,6.51e-06
1700,Be With You, Enrique Iglesias,spotify:track:1lZ4j5WBURBwZ0M5TT46wP,2000,0.696,0.872,0.0315,0.55,122.009,0.000769
1701,Try Again, Aaliyah,spotify:track:4YpdQdXRBEC1wkoIHTwJTJ,2000,0.852,0.333,0.173,0.928,95.484,0.0545
1702,Everything You Want, Vertical Horizon,spotify:track:4cKGldbhGJniI8BrB3K6tb,2000,0.637,0.759,0.0504,0.741,93.898,0
1703,The Real Slim Shady, Eminem,spotify:track:3yfqSUWxFvZELEM4PmlwIR,2000,0.95,0.665,0.0339,0.76,104.504,0
1704,Breathe, Faith Hill,spotify:track:3y4LxiYMgDl4RethdzpmNe,2000,0.529,0.496,0.173,0.278,136.859,0
1705,I Wanna Know, Joe,spotify:track:6ctr1K7KzKErxbfGAynL8A,2000,0.724,0.485,0.256,0.581,136.057,1.35e-05
