,Winter Anthem,Artist,Song URI,Date,Danceability,Energy,Acousticness,Valence,Tempo,Instrumentalness
1341,On The Way Down, Ryan Cabrera,spotify:track:1GwVi2ceNb8dMFA3DZGnnY,2004,0.5,0.845,0.00184,0.539,95.199,0
1342,My Happy Ending, Avril Lavigne,spotify:track:6sqNctd7MlJoKDOxPVCAvU,2004,0.414,0.936,0.00136,0.74,170.229,0
1343,"Awful, Beautiful Life", Darryl Worley,spotify:track:5uqbTKo8Ogq1sBQ3u940Xz,2004,0.624,0.774,0.0258,0.672,112.608,2.37e-06
1344,Just Lose It, Eminem,spotify:track:0qcjuYtMWhBjXg0Xwt5SzS,2004,0.949,0.646,0.0705,0.927,121.007,1.14e-05
1345,Lean Back, Terror Squad,spotify:track:2Ozc0me9PV5vlt8cokwdvI,2004,0.698,0.922,0.129,0.691,126.594,0
1346,The Woman With You, Kenny Chesney,spotify:track:38svIEZx14taLmeQQfMFDv,2004,0.55,0.664,0.0672,0.273,139.933,4.31e-05
1347,Diary, Alicia Keys Featuring Tony! Toni! Tone!,N/A,2004,N/A,N/A,N/A,N/A,N/A,N/A
1348,Beautiful Soul, Jesse McCartney,spotify:track:1HwpWwa6bnqqRhK8agG4RS,2004,0.661,0.657,0.086,0.931,89.985,0
1349,Nothing On But The Radio, Gary Allan,spotify:track:3SRuODYNV4j2ckkJ9Samju,2004,0.682,0.718,0.0734,0.695,109.434,6.68e-06
1350,How Am I Doin, Dierks Bentley,spotify:track:3bvr2R5FUjrC3orh47Qe5V,2004,0.528,0.871,0.125,0.675,181.909,0
1351,Balla Baby, Chingy,spotify:track:6HFXjB2fvQUBuE3B5kmvfW,2004,0.928,0.643,0.0527,0.895,93.006,0
1352,Since U Been Gone, Kelly Clarkson,spotify:track:3xrn9i8zhNZsTtcoWgQEAd,2004,0.662,0.741,0.00165,0.404,131.0,0.0303
1353,Hush, LL Cool J Featuring 7 Aurelius,N/A,2004,N/A,N/A,N/A,N/A,N/A,N/A
1354,When I Think About Cheatin, Gretchen Wilson,spotify:track:05jSCFSAfFqhrk3UiEvTDX,2004,0.495,0.387,0.617,0.291,78.418,4.4e-06
1355,Youre My Better Half, Keith Urban,spotify:track:06ySRvEnrUxZZ9ml3VO2TY,2004,0.655,0.747,0.0369,0.613,118.054,1.29e-06
1356,Nobodys Home, Avril Lavigne,spotify:track:0cZDC7uxNK8lqQ3GgyvCnD,2004,0.348,0.907,0.000516,0.177,185.406,0
1357,Mud On The Tires, Brad Paisley,spotify:track:4AQWKGBWTR7fVuUKxi5sKE,2004,0.445,0.744,0.343,0.48,185.199,6.73e-05
1358,Mr. Mom, Lonestar,spotify:track:0jSIovJtKxEXH6vI4oRx7I,2004,0.505,0.842,0.0576,0.671,172.136,0
1359,Nothin Bout Love Makes Sense, LeAnn Rimes,spotify:track:7wWvmpIDhNt4RZKWKKxvcu,2004,0.656,0.802,0.566,0.796,121.933,0
1360,Party For Two, Shania Twain With Billy Currington Or Mark McGrath,N/A,2004,N/A,N/A,N/A,N/A,N/A,N/A
1361,Bless The Broken Road, Rascal Flatts,spotify:track:4YjjNHtEsTX6Af4mCTupT5,2004,0.599,0.433,0.693,0.384,135.948,8.99e-05
1362,Somebody Told Me, The Killers,spotify:track:7HGTkn2aX7MNdKs7nV2xBt,2004,0.5,0.975,0.000123,0.767,138.005,0.000379
1363,1985, Bowling For Soup,spotify:track:5oQcOu1omDykbIPSdSQQNJ,2004,0.606,0.887,0.000242,0.903,119.974,0
1364,Lady, Lenny Kravitz,spotify:track:4qM2h3xkzwGJiVv6GgL6w0,2004,0.808,0.584,0.0162,0.798,111.966,0.504
1365,Karma, Alicia Keys,spotify:track:588RGyR1f4Plc8nm7SrdCa,2004,0.727,0.736,0.0743,0.687,85.1,0.00311
1366,Monday Morning Church, Alan Jackson,spotify:track:1MFaEKnNtGe4Hayuuhk4Lx,2004,0.532,0.394,0.252,0.213,135.873,0
1367,Give A Little Bit, Goo Goo Dolls,spotify:track:35Ms8xegBwsiqlz630Io13,2004,0.557,0.951,0.00194,0.528,93.974,0.000172
1368,Tempted To Touch, Rupee,spotify:track:7khLgMuA7m4SA6aaDv1QSv,2004,0.819,0.825,0.061,0.939,105.988,0
1369,Some Cut, Trillville Featuring Cutty,spotify:track:14sDzq0rM97u4wcWsD9ox7,2004,0.857,0.544,0.0202,0.48,140.173,0
1370,He Gets That From Me, Reba McEntire,spotify:track:7j8A5OBmbF9vtH2X2EG5nr,2004,0.646,0.416,0.643,0.511,143.822,7.47e-06
1371,Vitamin R (Leading Us Along), Chevelle,spotify:track:04NGX0b5Tgs7VsErfn5OA1,2004,0.481,0.88,0.00465,0.289,95.023,6.02e-05
1372,Gasolina, Daddy Yankee,spotify:track:6jEZLz3YpnEBRpVkv35AmP,2004,0.857,0.801,0.332,0.753,96.009,1.2e-06
1373,Rich Girl, Gwen Stefani Featuring Eve,spotify:track:76iFDWapvdiyS1AdxAt6x7,2004,0.891,0.376,0.0282,0.854,98.005,8.18e-05
1374,Come Home Soon, SHeDAISY,spotify:track:7H4gH2mD8GbECtBhWyODSN,2004,0.461,0.417,0.687,0.25,91.372,0
1375,Caught Up, Usher,spotify:track:5zdUc1JRCImBYcDWgvFNpE,2004,0.817,0.806,0.027,0.805,110.086,9e-06
1376,Fall To Pieces, Velvet Revolver,spotify:track:2amzrvbxYiq8AxGntIiw5V,2004,0.464,0.887,0.000429,0.23,132.759,0.333
1377,Youre The One, Guerilla Black Featuring Mario Winans,N/A,2004,N/A,N/A,N/A,N/A,N/A,N/A
1378,So Cold, Breaking Benjamin,spotify:track:3xXKwkmkrpZmGpIof83xbE,2004,0.481,0.791,0.00315,0.287,153.026,0.000112
1379,In A Real Love, Phil Vassar,spotify:track:3u8m4E4pJn43otDkw2wXBs,2004,0.575,0.797,0.154,0.744,90.907,0
1380,Cold, Crossfade,spotify:track:6ZxrUCaynLgKSUudACOTwj,2004,0.451,0.815,6.06e-05,0.618,147.974,0
1381,I Changed My Mind, Keyshia Cole Featuring Shyne,N/A,2004,N/A,N/A,N/A,N/A,N/A,N/A
1382,Getting Away With Murder, Papa Roach,spotify:track:1UREw2MCfU0xwBzCAjxlUD,2004,0.384,0.921,0.0948,0.471,89.922,0
1383,Take Me Home, Terror Squad,spotify:track:25fqrbEPDnqe9Bf8RLL7an,2004,0.803,0.8,0.13,0.831,131.041,0
1384,Knuck If You Buck, Crime Mob Featuring Lil Scrappy,N/A,2004,N/A,N/A,N/A,N/A,N/A,N/A
1385,Nolia Clap," Juvenile, Wacko & Skip",spotify:track:7pWcjb71SqY2256QasmAhJ,2004,0.838,0.942,0.0718,0.961,79.935,0
1386,What You Waiting For?, Gwen Stefani,spotify:track:7icROppj4Z12Nr0xGgxWFJ,2004,0.676,0.942,0.0696,0.718,136.044,1.97e-06
1387,Thats What Its All About, Brooks & Dunn,spotify:track:6PToEvKwt5ZbRjgvQkgmJe,2004,0.515,0.901,0.0437,0.289,118.378,1.78e-05
1388,Baby Girl, Sugarland,spotify:track:6qQIH999KekS3qFWqR5qMO,2004,0.436,0.736,0.215,0.583,166.819,0
1389,Gotta Go Solo, Patti LaBelle Featuring Ron Isley,N/A,2004,N/A,N/A,N/A,N/A,N/A,N/A
1390,"I Smoke, I Drank", Body Head Bangerz Featuring YoungBloodz,N/A,2004,N/A,N/A,N/A,N/A,N/A,N/A
1391,American Idiot, Green Day,spotify:track:6nTiIhLmQ3FWhvrGafw2zj,2004,0.38,0.988,2.64e-05,0.769,186.113,7.86e-05
1392,Dangerously In Love, Beyonce,spotify:track:5IVuqXILoxVWvWEPm82Jxr,2004,0.646,0.77,0.00249,0.681,99.165,0
1393,Hey Now (Mean Muggin), Xzibit Featuring Keri Hilson,N/A,2004,N/A,N/A,N/A,N/A,N/A,N/A
1394,Okay, Nivea Featuring Lil Jon & YoungBloodZ,N/A,2004,N/A,N/A,N/A,N/A,N/A,N/A
1395,Perdidos, Monchy & Alexandra,spotify:track:6TjHpTuIWtMK2wrEst0cuB,2004,0.838,0.676,0.476,0.902,129.92,0
1396,I Hate Everything, George Strait,spotify:track:6r4LyNgkR7DmwgKj8Hbe6r,2004,0.584,0.545,0.343,0.509,90.94,0.000794
1397,Used To Love U, John Legend,spotify:track:3uBbvynFWlF041WzNVHd1d,2004,0.661,0.796,0.0347,0.657,87.982,0
1398,Youre My Everything, Anita Baker,spotify:track:0FeTZY4qMZ2JtJs47ZE4SV,2004,0.762,0.621,0.737,0.317,91.01,0.192
1399,Call My Name, Prince,spotify:track:5lfIv7Xw5DFZjQpoivcj3n,2004,0.648,0.825,0.358,0.307,91.083,0
1400,Hey Ya!, OutKast,spotify:track:2PpruBYCo4H7WOBJ7Q2EwM,2003,0.728,0.974,0.103,0.965,79.526,0.000532
1401,The Way You Move, OutKast Featuring Sleepy Brown,N/A,2003,N/A,N/A,N/A,N/A,N/A,N/A
1402,Stand Up, Ludacris Featuring Shawnna,N/A,2003,N/A,N/A,N/A,N/A,N/A,N/A
1403,Milkshake, Kelis,spotify:track:2s0ouHqJebHfiQ6C1GUFJd,2003,0.891,0.77,0.00862,0.819,112.997,0.0315
1404,Here Without You, 3 Doors Down,spotify:track:3NLrRZoMF0Lx6zTlYqeIo4,2003,0.536,0.55,0.0537,0.234,144.018,0
1405,Walked Outta Heaven, Jagged Edge,spotify:track:06ZDLodo1UDVavc3MXREZ3,2003,0.67,0.616,0.573,0.523,120.129,0
1406,Suga Suga, Baby Bash Featuring Frankie J,N/A,2003,N/A,N/A,N/A,N/A,N/A,N/A
1407,Holidae In, Chingy Featuring Ludacris & Snoop Dogg,N/A,2003,N/A,N/A,N/A,N/A,N/A,N/A
1408,You Dont Know My Name, Alicia Keys,spotify:track:6LGwYMXXgURfaequXipzHx,2003,0.263,0.663,0.589,0.25,167.271,0.00451
1409,Step In The Name Of Love, R. Kelly,spotify:track:2GtFOkArU10Lr11BbVKl28,2003,0.744,0.617,0.266,0.78,94.999,0
1410,Baby Boy, Beyonce Featuring Sean Paul,N/A,2003,N/A,N/A,N/A,N/A,N/A,N/A
1411,Damn!, YoungBloodZ Featuring Lil Jon,N/A,2003,N/A,N/A,N/A,N/A,N/A,N/A
1412,Change Clothes, JAY-Z,spotify:track:5kV13A1S7RHIhpoXG46Izh,2003,0.781,0.538,0.0416,0.347,104.1,0
1413,Get Low, Lil Jon & The East Side Boyz Featuring Ying Yang Twins,spotify:track:0jrz4ZQKCsC6h2vzqgHiEp,2003,0.771,0.621,0.0295,0.154,101.013,0
1414,Stunt 101, G Unit,spotify:track:6QdVBqkKNUqCqercvUHMkP,2003,0.694,0.778,0.167,0.518,95.475,0
1415,Its My Life, No Doubt,spotify:track:2fOxxLz9JVe53itq6pfBak,2003,0.597,0.762,0.00368,0.794,126.325,0.00117
1416,Wat Da Hook Gon Be, Murphy Lee Featuring Jermaine Dupri,N/A,2003,N/A,N/A,N/A,N/A,N/A,N/A
1417,Someday, Nickelback,spotify:track:4PkJ7c9y1CwpuVOiJODnCZ,2003,0.455,0.858,0.000616,0.597,163.118,0.000247
1418,Runnin (Dying To Live), Tupac Featuring The Notorious B.I.G.,N/A,2003,N/A,N/A,N/A,N/A,N/A,N/A
1419,Read Your Mind, Avant,spotify:track:6cR1U61DMpYbS2TtNTlSvo,2003,0.75,0.391,0.277,0.711,146.191,5.99e-06
1420,Why Dont You & I, Santana Featuring Alex Band Or Chad Kroeger,N/A,2003,N/A,N/A,N/A,N/A,N/A,N/A
1421,"Me, Myself And I", Beyonce,spotify:track:6XsT5UGfpaFeHQf5LRIy4W,2003,0.75,0.458,0.226,0.536,83.61,3.25e-05
1422,Headstrong, Trapt,spotify:track:1AEYT6VxrxXPMoQUxsY0E4,2003,0.492,0.896,0.000172,0.534,184.981,2.78e-06
1423,Perfect, Simple Plan,spotify:track:4j3X4KX8rURekAVIFUhI23,2003,0.494,0.672,0.0273,0.557,156.208,0
1424,Bright Lights, matchbox twenty,spotify:track:5l36mPDpqNWrNIRzwJpwYl,2003,0.319,0.732,0.0134,0.2,80.195,0
1425,Slow Jamz, Twista Featuring Kanye West & Jamie Foxx,N/A,2003,N/A,N/A,N/A,N/A,N/A,N/A
1426,So Far Away, Staind,spotify:track:6FOpPA0a80RuBqqgDozvja,2003,0.407,0.896,0.012,0.156,138.697,0
1427,White Flag, Dido,spotify:track:4kbz7rHVbyjKasuuqelccQ,2003,0.512,0.531,0.33,0.302,169.951,3.5e-06
1428,Right Thurr, Chingy,spotify:track:0l3GEbH3CviUytD6iX4wzg,2003,0.866,0.749,0.15,0.891,92.077,0
1429,(Theres Gotta Be) More To Life, Stacie Orrico,spotify:track:2x5qF66rFO6DERBMNkQAqn,2003,0.58,0.922,0.0917,0.649,89.841,0
1430,Numb, Linkin Park,spotify:track:2nLtzopw4rPReszdYBJU6h,2003,0.496,0.863,0.0046,0.243,110.018,0
1431,Why Cant I?, Liz Phair,spotify:track:4z4PB23xYTg1oANmyZovsw,2003,0.487,0.759,0.0273,0.227,80.958,0
1432,Harder To Breathe, Maroon 5,spotify:track:2RjpDxBii8EvC6p6wxwCSz,2003,0.661,0.902,0.0615,0.964,149.808,0
1433,There Goes My Life, Kenny Chesney,spotify:track:5a5Q60zkE4njZWgyR0r7Mm,2003,0.581,0.446,0.0367,0.249,135.793,7.45e-06
1434,Shake Ya Tailfeather," Nelly, P. Diddy & Murphy Lee",spotify:track:1lKS7SZQ7r5vOChLwJurmm,2003,0.662,0.808,0.176,0.909,87.644,0
1435,I Love This Bar, Toby Keith,spotify:track:2EZWdLnLPwL97JcfNlBoM1,2003,0.605,0.854,0.0404,0.489,115.048,0.0142
1436,The First Cut Is The Deepest, Sheryl Crow,spotify:track:7gN24J8E0pR3G2nsbhkcjw,2003,0.498,0.68,0.0483,0.695,160.043,0
1437,Cowboys Like Us, George Strait,spotify:track:1J02p0AlYptTfos2M3hLW6,2003,0.477,0.553,0.213,0.299,128.416,1.31e-06
1438,Breathe, Michelle Branch,spotify:track:635mzxhITS1xY3AVSLKgyD,2003,0.644,0.753,0.0279,0.209,117.148,0.00227
1439,The Voice Within, Christina Aguilera,spotify:track:42JgHvkBiAc5ivo0gvVRvQ,2003,0.484,0.439,0.556,0.157,69.945,0
1440,Gigolo, Nick Cannon Featuring R. Kelly,N/A,2003,N/A,N/A,N/A,N/A,N/A,N/A
1441,You Cant Take The Honky Tonk Out Of The Girl, Brooks & Dunn,spotify:track:56LfnhlS3xvjtCpXWOxleW,2003,0.574,0.949,0.00881,0.755,114.271,3.82e-05
1442,Invisible, Clay Aiken,spotify:track:0O0ieeprNUzIbiOSnDg5Z0,2003,0.565,0.777,0.152,0.593,110.092,0
1443,Rain On Me, Ashanti,spotify:track:4cj3K119pTNI8cH7TgNwIz,2003,0.601,0.776,0.253,0.465,83.607,0
1444,Salt Shaker, Ying Yang Twins Featuring Lil Jon & The East Side Boyz,N/A,2003,N/A,N/A,N/A,N/A,N/A,N/A
1445,Unwell, matchbox twenty,spotify:track:0PXWpNBYg52gABrn1qL1bD,2003,0.442,0.793,0.0456,0.437,80.985,0
1446,Remember When, Alan Jackson,spotify:track:1nCSr7oGeUv7sUEoYuAJFF,2003,0.558,0.314,0.709,0.267,125.59,0.000319
1447,Hell Yeah, Montgomery Gentry,spotify:track:4nllHILOTFjoMo5RD8IciY,2003,0.367,0.871,0.019,0.65,173.569,1.35e-06
1448,Not Today, Mary J. Blige Featuring Eve,N/A,2003,N/A,N/A,N/A,N/A,N/A,N/A
1449,Stacys Mom, Fountains Of Wayne,spotify:track:27L8sESb3KR79asDUBu8nW,2003,0.774,0.75,0.0021,0.925,118.015,1.85e-05
1450,Fallen, Sarah McLachlan,spotify:track:1rOXSzrv5au07KaEltvszu,2003,0.485,0.495,0.579,0.376,149.657,2.63e-05
1451,Through The Wire, Kanye West,spotify:track:3KUpGMnZL76I9E7FoWV1re,2003,0.548,0.75,0.00834,0.617,82.811,2.81e-06
1452,Chicks Dig It, Chris Cagle,spotify:track:0nprj2O0teCglthuhzTG5o,2003,0.596,0.921,0.0221,0.703,104.024,0
1453,Forthenight, Musiq,spotify:track:2s0DmFkinx9TZMFxAfn4lJ,2003,0.7,0.673,0.295,0.76,101.138,0
1454,More & More, Joe,spotify:track:3Yylgs7Ifs7vLQ84e71RFA,2003,0.7,0.508,0.189,0.464,139.974,0
1455,Fallen, Mya,spotify:track:75pAfYEpRXZf7GVORGhOgz,2003,0.662,0.603,0.131,0.39,94.508,9.35e-06
1456,I Melt, Rascal Flatts,spotify:track:02UnamzTn2rySwzcMkq5qx,2003,0.556,0.712,0.207,0.164,140.031,1.99e-05
1457,My Baby, Bow Wow Featuring Jagged Edge,N/A,2003,N/A,N/A,N/A,N/A,N/A,N/A
1458,Pass That Dutch, Missy Elliott,spotify:track:1MaI6NwdrqnE3mRzOYTpoo,2003,0.899,0.645,0.0435,0.348,110.895,0.101
1459,(I Hate) Everything About You, Three Days Grace,spotify:track:6rUp7v3l8yC4TKxAAR5Bmx,2003,0.498,0.83,0.00461,0.453,89.342,0
1460,Walking In Memphis, Lonestar,spotify:track:3c9WJhG3QvTtHmwKb5wz3i,2003,0.68,0.717,0.27,0.664,129.035,0
1461,Gangsta Nation, Westside Connection Featuring Nate Dogg,N/A,2003,N/A,N/A,N/A,N/A,N/A,N/A
1462,Wave On Wave, Pat Green,spotify:track:7rS87NoPWbAkVURdVFbGH9,2003,0.673,0.759,0.178,0.419,103.662,1.96e-05
1463,Honesty (Write Me A List), Rodney Atkins,spotify:track:2GEVYh26CoMvxc6Hd56Qpu,2003,0.576,0.496,0.0355,0.236,77.006,0
1464,Who Wouldnt Wanna Be Me, Keith Urban,spotify:track:7MtZJEuIZ6GEKGSN7ttTkX,2003,0.666,0.817,0.115,0.826,120.02,1.18e-05
1465,Drinkin Bone, Tracy Byrd,spotify:track:7BB3emVX0QaFVddCHiO9wt,2003,0.77,0.833,0.0793,0.964,109.928,0
1466,Shes Not Just A Pretty Face, Shania Twain,spotify:track:5xh0pLWWOuHiHsqvIX8JpH,2003,0.568,0.872,0.0511,0.492,98.981,0
1467,I Wanna Do It All, Terri Clark,spotify:track:56sAXFMfTagQGl5KOxvdxt,2003,0.632,0.892,0.0778,0.781,132.837,0
1468,"Cant Stop, Wont Stop", Young Gunz,spotify:track:0a0HVlMAWI25EDo9Hr7aR7,2003,0.873,0.809,0.00837,0.755,99.989,0
1469,Clubbin, Marques Houston Featuring Joe Budden & Pied Piper,N/A,2003,N/A,N/A,N/A,N/A,N/A,N/A
1470,Watch The Wind Blow By, Tim McGraw,spotify:track:6Os7cO6a6UeglnpIKidRjh,2003,0.517,0.608,0.0924,0.506,62.65,0
1471,Away From Me, Puddle Of Mudd,spotify:track:3qhM6fJ1MLg0Uk4vmSVyPI,2003,0.389,0.933,0.000403,0.162,154.739,1.43e-06
1472,Are You Gonna Be My Girl, Jet,spotify:track:305WCRhhS10XUcH6AEwZk6,2003,0.613,0.953,0.00148,0.537,105.046,0.000582
1473,Hit That, The Offspring,spotify:track:3lfmqF0ULXRHlWxBeaHo3t,2003,0.707,0.797,0.028,0.965,131.95,0
1474,Clap Back, Ja Rule,spotify:track:1FK0sZfZzCAIDUn7htCemp,2003,0.686,0.787,0.0459,0.674,120.943,7.05e-06
1475,Little Moments, Brad Paisley,spotify:track:7nJrhBDkUSHASFzopvgygk,2003,0.558,0.551,0.245,0.347,78.374,4.19e-06
1476,F**k It (I Dont Want You Back), Eamon,spotify:track:1p5kC161fWMA2QlwV3Vi4W,2003,0.828,0.653,0.214,0.575,68.507,3.25e-06
1477,Me Against The Music, Britney Spears Featuring Madonna,spotify:track:2PdoqJWYGBSs6hTZzKG4AV,2003,0.815,0.763,0.00636,0.772,120.049,0.415
1478,Tough Little Boys, Gary Allan,spotify:track:6TZEPo10yErUtF5AtdfLY2,2003,0.542,0.397,0.685,0.239,84.221,0.000142
1479,Bigger Than My Body, John Mayer,spotify:track:0Jh9EBGN205Yc7JN2zZ2f1,2003,0.607,0.936,0.0121,0.517,117.303,0.0418
1480,Still Frame, Trapt,spotify:track:114bGIxUrj6vnZwWEfEdMP,2003,0.445,0.932,0.000866,0.51,113.945,0
1481,Hotel, Cassidy Featuring R. Kelly,spotify:track:2do7t1NMxLTgblFuCvn7H7,2003,0.679,0.644,0.107,0.411,91.259,0
1482,Weak And Powerless, A Perfect Circle,spotify:track:7gDVjl5fEw2OPAtjbW4LzR,2003,0.483,0.841,0.000172,0.129,159.747,0.861
1483,Love You More, Ginuwine,spotify:track:2KIxyCvBR4u1f9B2IRdlXX,2003,0.661,0.422,0.0887,0.428,117.007,2.39e-06
1484,Pop That Booty," Marques Houston Featuring Jermaine ""JD"" Dupri",N/A,2003,N/A,N/A,N/A,N/A,N/A,N/A
1485,Another Postcard (Chimps), Barenaked Ladies,spotify:track:6rMx1neL9mLYivQ5U6PFk3,2003,0.621,0.747,0.00227,0.726,172.31,0.000234
1486,Show Me How To Live, Audioslave,spotify:track:1Qdnvn4XlmZANCVy3XjrQo,2003,0.433,0.854,0.000336,0.368,89.4,0.000177
1487,Knock Knock, Monica,spotify:track:6Ln2tBK4EnNtMLtYyAZhr7,2003,0.777,0.588,0.414,0.54,88.915,4.79e-05
1488,Heaven, Live,spotify:track:0pfm3xmeB1xNdTcKap5Jum,2003,0.237,0.456,0.147,0.159,134.875,0
1489,Amazing, Josh Kelley,spotify:track:3fbKJNrsPJwye98LTGm4Ok,2003,0.546,0.857,0.0161,0.814,96.852,0
1490,Badaboom, B2K Featuring Fabolous,spotify:track:0kJOVEXI6rvYKdNOYCt2Xp,2003,0.8,0.644,0.0215,0.816,96.015,0.00059
1491,Shake That Monkey, Too Short Featuring Lil Jon & The East Side Boyz,N/A,2003,N/A,N/A,N/A,N/A,N/A,N/A
1492,I Cant Take You Anywhere, Scotty Emerick With Toby Keith,spotify:track:2Xhlh2be3mRECtvUh1Ryu8,2003,0.762,0.622,0.21,0.867,109.02,0.306
1493,Long Black Train, Josh Turner,spotify:track:2HqCaO7BV010qXS5FuiTED,2003,0.472,0.709,0.228,0.84,169.867,2.2e-05
1494,So Yesterday, Hilary Duff,spotify:track:0J1Wfjo9H3R62yaCuuNDZX,2003,0.547,0.832,0.229,0.771,78.209,0
1495,Take Me Away, Fefe Dobson,spotify:track:2Cvdv8AWXuikxnLrMs5I13,2003,0.606,0.918,0.00269,0.751,110.048,0.000379
1496,Bad Boy This Bad Boy That, Bad Boy's Da Band,spotify:track:13QMUA813rB5QdsePrPRoo,2003,0.854,0.705,0.0262,0.701,99.989,0
1497,One More Chance, Michael Jackson,spotify:track:7uyivkbdc8iH8wyBGBhlXV,2003,0.476,0.596,0.108,0.549,80.738,0
1498,Neva Eva, Trillville,spotify:track:6QwwsJC57SitPcWuyEpuwd,2003,0.777,0.81,0.0192,0.787,78.021,0
1499,This Ones For The Girls, Martina McBride,spotify:track:01CnYyPXMFRzOFVQBU8WMb,2003,0.613,0.801,0.0626,0.609,126.966,1.15e-05
1500,Lose Yourself, Eminem,spotify:track:5Z01UMMf7V1o0MzF86s6WJ,2002,0.698,0.732,0.00704,0.0689,171.431,0.000647
1501,Work It," Missy ""Misdemeanor"" Elliott",spotify:track:6gawAKYzoDy6jYjE18u9ey,2002,0.869,0.735,0.228,0.463,101.909,0
1502,Jenny From The Block, Jennifer Lopez Featuring Styles & Jadakiss,spotify:track:45BWoAVKPweZTPWzzFetSD,2002,0.847,0.754,0.00804,0.957,100.0,4.49e-06
1503,Air Force Ones," Nelly Featuring Kyjuan, Ali & Murphy Lee",N/A,2002,N/A,N/A,N/A,N/A,N/A,N/A
1504,03 Bonnie & Clyde, Jay-Z Featuring Beyonce Knowles,N/A,2002,N/A,N/A,N/A,N/A,N/A,N/A
1505,Underneath It All, No Doubt Featuring Lady Saw,N/A,2002,N/A,N/A,N/A,N/A,N/A,N/A
1506,The Game Of Love, Santana Featuring Michelle Branch,N/A,2002,N/A,N/A,N/A,N/A,N/A,N/A
1507,Dont Mess With My Man, Nivea Featuring Brian & Brandon Casey,N/A,2002,N/A,N/A,N/A,N/A,N/A,N/A
1508,Gimme The Light, Sean Paul,spotify:track:3SCVtAJq8li6HlKfM4M08u,2002,0.778,0.761,0.141,0.923,107.288,4.61e-05
1509,Beautiful, Christina Aguilera,spotify:track:3TCauNPqFiniaYHBvEVoHG,2002,0.457,0.573,0.578,0.0992,76.193,3.05e-06
1510,Love Of My Life (An Ode To Hip Hop), Erykah Badu Featuring Common,N/A,2002,N/A,N/A,N/A,N/A,N/A,N/A
1511,"Bump, Bump, Bump", B2K & P. Diddy,spotify:track:7ngkLpKvJLsw98ZWr4OkjF,2002,0.842,0.431,0.174,0.774,95.613,0
1512,Luv U Better, LL Cool J,spotify:track:0HJYzGavqzjiKMmm4F0UZv,2002,0.646,0.812,0.218,0.694,95.014,0
1513,She Hates Me, Puddle Of Mudd,spotify:track:1uwTmwkjv7wFImfzegvdI6,2002,0.575,0.746,0.00875,0.607,109.789,0
1514,Landslide, Dixie Chicks,spotify:track:65nCVhtlWYUzNvcM1MYp4l,2002,0.574,0.4,0.569,0.512,146.018,6.19e-06
1515,Hey Ma," Cam'Ron Featuring Juelz Santana, Freekey Zekey & Toya",N/A,2002,N/A,N/A,N/A,N/A,N/A,N/A
1516,dontchange, Musiq,spotify:track:578ow4LV7uZzZvYyqEBUVP,2002,0.554,0.543,0.2,0.182,101.667,0
1517,Dilemma, Nelly Featuring Kelly Rowland,spotify:track:23477wqTFa3MWFoIdze8Ze,2002,0.654,0.439,0.141,0.377,84.052,9.92e-06
1518,When The Last Time, Clipse,spotify:track:0EXm0iaB0CzqtsB3VaupXj,2002,0.847,0.884,0.514,0.845,99.036,0
1519,One Last Breath, Creed,spotify:track:42T2QQv3xgBlpQxaSP7lnK,2002,0.388,0.689,0.00809,0.212,126.362,0.000946
1520,Die Another Day, Madonna,spotify:track:7DUpuAzGUyJaJB3p9BC3Ms,2002,0.792,0.797,0.062,0.491,123.993,0.00325
1521,Whos Your Daddy?, Toby Keith,spotify:track:0x7Yp9FYMcTH9u1hxxnh4e,2002,0.688,0.869,0.313,0.856,126.299,0.0224
1522,Your Body Is A Wonderland, John Mayer,spotify:track:7vFv0yFGMJW3qVXbAd9BK9,2002,0.647,0.729,0.0206,0.687,94.01,0.0489
1523,Miss You, Aaliyah,spotify:track:0YJzjxtKHBVVg5aZ304W8B,2002,0.735,0.568,0.019,0.334,78.997,0.295
1524,Family Portrait, P!nk,spotify:track:1HaZ5x3c3HXRrLLHfsjO5p,2002,0.761,0.687,0.0217,0.779,91.808,2.99e-06
1525,Im With You, Avril Lavigne,spotify:track:1jlG3KJ3gdYmhfuySFfpO1,2002,0.457,0.406,0.08,0.208,151.95,0
1526,Shell Leave You With A Smile, George Strait,spotify:track:0sKXWw2C1m3RMl4AX6JLlF,2002,0.628,0.566,0.602,0.501,97.998,0.000216
1527,These Days, Rascal Flatts,spotify:track:5nWgEBtaRwVrCMjer1RtLm,2002,0.578,0.738,0.271,0.352,81.962,0
1528,Disease, matchbox twenty,spotify:track:4OepLJ2fUvHRmVB8XklIe8,2002,0.541,0.833,0.0187,0.84,115.052,0
1529,Thugz Mansion, 2Pac,spotify:track:3eBBbAEBQdr6tkUUd8gyuQ,2002,0.71,0.642,0.302,0.891,87.873,0
1530,Stole, Kelly Rowland,spotify:track:4CTX9iU2a0Q9vM2T4YMUQL,2002,0.649,0.718,0.00676,0.477,79.993,4.26e-06
1531,Like I Love You, Justin Timberlake,spotify:track:6W2Ef5Ph6ILTUAedoQ3QIv,2002,0.853,0.811,0.0439,0.901,114.961,0.000304
1532,Fabulous, Jaheim Featuring Tha Rayne,N/A,2002,N/A,N/A,N/A,N/A,N/A,N/A
